Run Name,Date,Distance (km),Pace,Time (min),Description,Split Number,Split Distance (km),Split Pace,Split Time
"post clg run",2026-02-25,7.03,43,6:07/km,"No description",1.00,6:44,6:43/km,1.00,6:33,6:34/km,1.00,6:35,6:35/km,1.00,6:12,6:13/km,1.00,5:56,5:55/km,1.00,5:52,5:51/km,1.00,5:00,5:01/km,32.5,0:10,5:08/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"post clg run",2026-02-19,5.03,30.1,5:59/km,"No description",1.00,6:07,6:07/km,1.00,5:50,5:50/km,1.00,5:39,5:38/km,1.00,6:33,6:33/km,1.00,5:46,5:45/km,27,0:11,6:47/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quickie",2026-02-17,3.24,17.9,5:32/km,"No description",1.00,5:33,5:32/km,1.00,5:35,5:35/km,1.00,5:29,5:28/km,0.23,1:18,5:34/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"absolutely washed",2026-02-14,14.11,97.7,6:55/km,"No description",1.00,6:27,6:27/km,1.00,6:34,6:34/km,1.00,6:30,6:30/km,1.00,6:34,6:35/km,1.00,6:35,6:35/km,1.00,6:32,6:32/km,1.00,6:31,6:31/km,1.00,6:23,6:23/km,1.00,8:30,8:30/km,1.00,6:13,6:13/km,1.00,6:33,6:32/km,1.00,7:44,7:43/km,1.00,6:57,6:58/km,1.00,8:18,8:18/km,0.11,1:21,12:07/km,,,,,,,,,,,,,,,,,,,,,
"ez run",2026-02-09,5.05,33.5,6:38/km,"No description",1.00,6:27,6:26/km,1.00,6:57,6:58/km,1.00,6:47,6:46/km,1.00,6:46,6:46/km,1.00,6:14,6:14/km,51,0:19,6:13/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"legs be giving up",2026-01-31,10.04,56.4,5:37/km,"No description",1.00,6:02,6:01/km,1.00,5:51,5:52/km,1.00,5:49,5:49/km,1.00,5:25,5:25/km,1.00,5:40,5:40/km,1.00,5:36,5:36/km,1.00,5:40,5:40/km,1.00,5:31,5:32/km,1.00,5:34,5:32/km,1.00,5:03,5:04/km,44.2,0:12,4:31/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"legs be cooked",2026-01-29,3.6,20.2,5:36/km,"No description",1.00,6:01,6:01/km,1.00,5:26,5:26/km,1.00,5:24,5:25/km,0.60,3:20,5:33/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday morning long run",2026-01-26,21.24,130.2,6:08/km,"absolutely insane the amount difference a month of running can do, happy republic day and thanks moiz for the photos",1.00,5:55,5:55/km,1.00,5:53,5:53/km,1.00,6:13,6:14/km,1.00,6:35,6:34/km,1.00,5:50,5:51/km,1.00,6:20,6:20/km,1.00,6:48,6:48/km,1.00,5:50,5:49/km,1.00,6:33,6:34/km,1.00,6:04,6:04/km,1.00,6:16,6:16/km,1.00,7:07,7:07/km,1.00,6:36,6:34/km,0.99,5:56,5:58/km,1.00,5:48,5:47/km,1.00,5:45,5:45/km,1.00,5:58,5:59/km,1.00,5:55,5:55/km,1.00,6:01,6:02/km,1.00,5:54,5:53/km,1.00,5:38,5:38/km,0.23,1:14,5:17/km
"the last 3 kms were death",2026-01-24,15.1,90.6,6:00/km,"No description",1.00,5:59,5:58/km,1.00,5:54,5:55/km,1.00,6:52,6:50/km,1.00,6:17,6:19/km,1.00,6:03,6:02/km,1.00,6:20,6:20/km,1.00,6:17,6:17/km,1.00,6:11,6:11/km,1.00,6:06,6:06/km,1.00,6:22,6:22/km,1.00,6:22,6:22/km,1.00,5:42,5:42/km,1.00,5:26,5:26/km,1.00,5:17,5:17/km,1.00,5:01,5:01/km,98.6,0:27,4:34/km,,,,,,,,,,,,,,,,,,
"Evening Run",2026-01-22,7.06,39.9,5:39/km,"finally some speedwork, need to work on speed",1.00,6:01,6:00/km,1.00,6:15,6:16/km,1.00,5:36,5:36/km,1.00,5:28,5:29/km,1.00,5:42,5:42/km,1.00,5:34,5:34/km,1.00,5:03,5:04/km,55,0:14,4:14/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
